Y/N,question,answer,explination,category,subcategory,type
,"""What is the depth of a deep earthquake?""",>190 mi,---,Engineering Geology,,
,"""What is the S-wave velocity equation?""",Vs = Sqrt(shear modulus / density),---,Engineering Geology,,
,"""What is the P-wave velocity equation?""",Vp = sqrt(bulk modulus + [4/3shear modulus] / density),---,Engineering Geology,,
,"""What is the seismic moment, Mo equation?""",Mo = Shear Modulus x Fault Area x Average Slip Along Fault,---,Engineering Geology,,
,"""What is the Factor of Safety equation?""",Factor of Safety = cohesion + (normal stress x tan[internal angle of friction]) / shear stress,Factor of Safety = Resisting Forces / Driving Forces,Engineering Geology,,
,"""What is the horizontal axis on a Mohr circle diagram?""",The Normal Stress.,---,Engineering Geology,,
,"""What is the right-most plotted point on the y-axis of a Mohr circle diagram?""",Sigma 1 - The maximum stress axis.,---,Engineering Geology,,
,"""What is the left-most plotted point on the y-axis of a Mohr circle diagram?""",Sigma 3 - The minimum stress axis.,---,Engineering Geology,,
,"""Where is theta, the internal angle of friction, measured on a Mohr circle diagram?""",Counterclockwise from sigma 3.,---,Engineering Geology,,
,"""What expression is actually plotted on a Mohr circle diagram to represent the internal angle of friction?""",2 x theta,---,Engineering Geology,,
,"""In a Markland wedge analysis, is the shaded portion on the stereonet the stable or unstable area?""",It is the unstable area. ,---,Engineering Geology,,
,"""What expression do we use to evaluate shear strength for a dry, cohesionless soil?""",Shear Strength = Normal Stress x (tan(Internal Angle of Friction)),---,Engineering Geology,,
,"""What expression is used to model cohesion?""",C = 1/2 x Normal Stress,---,Engineering Geology,,
,"""What is the unit weight of water in lbs/ft^3?""",62.4 lbs/ft^3,---,Conversion Factor,,
,"""In a Markland wedge analysis, is the shaded portion on the stereonet the stable or unstable area?""",It is the unstable area. ,---,Engineering Geology,,
,"""How do you get the volume of something if just given it's weight?""","Take the weight, and divide it by the unit weight of that substance. That leaves you with the volume.",---,Engineering Geology,,
,Archie's Law,An empirical relationship between well log resistivity and water saturation... And ultimately to hydrocarbon saturation.,---,Economic Geology,,
,Assay,"An analysis of the proportions of metal in an ore. Composition, purity, weight, or other properties of economic interest are tested. ",---,Economic Geology,,
,Average Grade,The average quantity or percentage of ore mineral content in an ore body.,---,Economic Geology,,
,Base Metal,A common and chemically active metal (it oxidizes or corrodes easily),Examples: Lead or Copper,Economic Geology,,
,Block Caving,A mining technique that takes advantage of naturally occurring fractures by blasting and collecting the blocks. ,---,Economic Geology,,
,Cut-Off Grade,The value of grade below which the deposit is uneconomic.,---,Economic Geology,,
,Diagenesis ,"The chemical, physical, or biological change undergone by sediments after its original deposition and during and after compaction and lithification at pressures <1 kilobar and temperatures between 100-300 degrees C. It does not include weathering or metamorphism.",---,Economic Geology,Sedimentology,
,Dispersion,The process by which elements move away from the enriched ore zone. ,---,Economic Geology,,
,Dolomitization,The process by which limestone is converted to dolomite by the replacement of calcium carbonate by magnesium carbonate. ,---,Economic Geology,,
,Eh,Oxidation potential; the measurement of the potential of a substance to oxidize. ,---,Economic Geology,,
,Epigenetic,An ore deposit that originates later that the enclosing host rocks.,---,Economic Geology,,
,Epithermal,Shallow hydrothermal.,---,Economic Geology,,
,Exhalite,"The chemical product of exhalation; a deposit formed by the interaction of volcanically heated water, convecting seawater, and subjacent igneous rocks.",---,Economic Geology,,
,"""Give some examples of ore deposits which are epigenetic deposits of doubtful igneous origin (deposits created after host rock was deposited).""","Mississippi Valley Deposits, Western states uranium, and Athabascan-type unconformity related.",---,Economic Geology,Mineralogy / Petrology,
,Gangue,Valueless rock or mineral aggregates in an ore; econmically undesirable. ,---,Economic Geology,,
,Longwall Mining,A mining technique that shears off the coal from the longest wall of the room.,---,Economic Geology,,
,Metasomatism,The process of practically simultaneous solution and deposition of a new mineral in an old mineral by means of interstitial fluids. The replacement occurs at constant volume with little disturbance or structural or textural features.,The Important Part -> Simultaneous Solution and Deposition,Economic Geology,,
,Pathfinder,A relatively mobile element whose geochemical properties are used to more easily find a deposit of greater importance or value.,---,Economic Geology,,
,Play,A geographic area where common geologic factors exist (e.g. stratigraphy to create petroleum accumulation.,Environments where petroleum occurs.,Economic Geology,,
,Porphyry,An igneous rock that contains phenocrysts in a fine-grained groundmass.,---,Economic Geology,,
,Prospect,"A specific oil and gas trap that has been identified. Once drilled, it becomes either a dry hole or producing field. ",---,Economic Geology,,
,Rank,The degree of progressive diagenesis or metamorphism of peat (coalification).,---,Economic Geology,,
,Recovery,"a). The percentage of the total ore that is recovered. b). The amount of oil obtained by primary, secondary, or tertiary means.",The amount of a resource taken from a host source.,Economic Geology,,
,Retreat Mining,Mining of the support pillars while retreating from the mine. ,---,Economic Geology,,
,Room and Pillar,A type of underground mining that excavates rooms leaving pillars for support. ,---,Economic Geology,,
,Silicification,"The introduction of, or replacement by, silica. ",---,Economic Geology,,
,Skarn,"Silicate rocks of complex, metamorphic-metasomatic mineralogy formed in carbonate rocks in a contact metamorphic aureola.",A type of metamorphic silicate rock that forms in carbonate rocks.,Economic Geology,Mineralogy / Petrology,
,Stoping,Extraction of ore in an underground mine by working laterally in a series of levels in the plane of the vein.,Horizontal excavation of a vein plane.,Economic Geology,,
,Stratabound,A mineral deposit confined to a single stratigraphic unit.,---,Economic Geology,,
,Stratiform,A special type of stratabound deposit in which the ore constitutes a layer or layers in the rock.,---,Economic Geology,,
,Supergene Enrichment,"A near-surface process of mineral deposition in which metals are leached by acidic solutions, carried downward, and re-precipitated, enriching the sulfied minerals already present.","When acids dissolve metals near the surface, get drawn downward, then precipitate on existing lower deposits. ",Economic Geology,,
,Syngenetic,"A mineral deposit formed contemporaneously with, and by the same processes as, the enclosing rocks.",---,Economic Geology,,
,"""What are the size / temperature / pressure conditions for mafic magmatic segregation deposits?""","They're moderate to large, high pressure formations that range from 700 to 1500 degrees C.",---,Economic Geology,Mineralogy / Petrology,
,"""How do Layered Mafic Intrusions (LMI) form?""",They form from the crystal settling of melt.,---,Economic Geology,,
,"""Where do anorthosites occur?""",They occur in close relationship to deep faults along old rift zones.,---,Economic Geology,,
,"""What are kimberlites and where do they form?""","Kimberlites are carrot shaped, ultramafic and diamond rich deposits that form deep in the Earth. ",---,Economic Geology,Mineralogy / Petrology,
,"""When did many of the North American calc-alkaline systems form?""",During the Mesozoic or Cenozoic orogenies. ,---,Economic Geology,,
,"""What temperature / pressure conditions does Skarn form in?""",Low to moderate pressures from 300-800 degrees C.,---,Economic Geology,Mineralogy / Petrology,
,Pegmatites,Unusually coarse-grained igneous rocks.,---,Economic Geology,Mineralogy / Petrology,
,"""What temperature / pressure conditions do pegmatites form in?""",High pressures from 250 to 700 degrees C.,---,Economic Geology,Mineralogy / Petrology,
,"""What is solubility contrast in chemical sedimentary deposits?""",When a soluble ore component is transported in solution or as a colloid to where chemical conditions allow from the precipitation of an insoluble compound. ,---,Economic Geology,Mineralogy / Petrology,
,"""What is another name for clastic sedimentation deposits?""",Placers.,---,Economic Geology,,
,"""How does induced polarization (IP) work?""","A current is sent through the ground, shut off, then the remnant current is measured. ",---,Economic Geology,Geophysics,
,"""How do electromagnetic (EM) methods work?""","An alternating current is introduced into the ground, where the generated electromagnetic field is then measured. Usedful for highly conductive sulfide deposits.",---,Economic Geology,Geophysics,
,Primary Halo,The anomalous area that has higher concentrations of ore elements compared to the country rock. ,---,Economic Geology,,
,Secondary Halo,"The widespread area where there's a higher concentration of ore elements than the country rock, but less concentrated than the primary halo. The ore elements are present, but sparesly placed. ",---,Economic Geology,,
,Resource,The in-place quantity of minerals.,---,Economic Geology,,
,Reserves,The estimated amount of resources that are economically recoverable.,---,Economic Geology,,
,"""How is coal formed?""","Coal is formed from the decay, burial, compression, and diagenesis of plants in swamps, lagoons, estuaries, and deltas. The coalification process involves the progressive transition from organic material to peat, where the decay of anaerobic bacteria produces a gel-like material called gytta that ultimately becomes coal after being burried and heated to a temperature of 100 degrees C or more.",Peat --> lignite --> subbitumous --> bitumous --> anthracite,Economic Geology,,
,Macerals,The organic constitutents remaining in coal formed from plant remains. ,---,Economic Geology,,
,"""What are examples of diagenetic processes?""","Compaction, cementation, reworking, authigenesis, leaching, hydration, and replacement.",---,Economic Geology,,
,"""Is lignite or anthracite further along the progressive diagenesis process?""",Anthracite.,---,Economic Geology,,
,"""What is approximately the limiting depth of room and pillar mining?""",About 3000 feet.,---,Economic Geology,Engineering Geology,
,"""Why would you use a shortwall mining method instead of longwall mining?""",Excavation of the shortwall vs the longwall allows for greater stability... Allowing mining for unstable sites.,---,Economic Geology,Engineering Geology,
,"""Where is longwall mining more effective than other mining methods?""",At large depths (>3000 ft),---,Economic Geology,,
,"""What are the advantages of longwall mining?""","Ore can be completely extracted, the roof rock can be almost completely caved, and surface subsidence is very uniform. ",---,Economic Geology,,
,"""What mineral is used as the industry standard substitute for aspestos?""",Wollastonite.,---,Economic Geology,,
,Reserve Base,"Portion of identified resource that meets minimum criteria (grade, quality, thickness, depth).",---,Economic Geology,,
,Gossan,Iron-bearing weathered product overlying a sulfide deposit.,---,Economic Geology,,
,Stope,Underground openings from which ore is extracted. ,---,Economic Geology,,
,"""In order to be called coal, material must have at least how much % carbonaceous material by weight?""",: 50%,---,Economic Geology,,
,"""What is the part of coal that doesn't burn?""",Ash,---,Economic Geology,,
,"""The Gulf Coast is primarily known for mining of what?""",Lignite,---,Economic Geology,,
,"""The Northern and Central Appalachians produce what two types of coal rank?""",Bituminous and Anthracite,---,Economic Geology,,
,"""Would oil that is viscous, in a low permeability reservoir, with a high gas to oil ratio have low or high recovery?""",Low,---,Economic Geology,,
,"""What is the other name for liquid petroleum?""",Crude Oil,---,Economic Geology,,
,"""What are examples of semisolid/solid petroleum?""",Asphalt and Tar. ,---,Economic Geology,,
,"""How do petroleum and subsequent traps form?""","1) Accumulation of organic materials. 2) Compaction, removal of oxygen, increase in temperature, time passes. 3) Upwards migration of oil and gas until trapped.",---,Economic Geology,,
,"""What is the vertical order of filled pore spaces in a common gas-oil trap?""","From highest to lowest, gas, oil, water.",---,Economic Geology,,
,Styolite,Teethlike interlocking projections at a contact in carbonate rocks that often form a vertical impermeable barrier to petroleum migration. ,---,Economic Geology,,
,Apparent Dip (a),The inclination of a plane measured in a direction not perpendicular to strike. ,---,Structural / Field,,
,Apparent Dip Direction,The bearing of the vertical plane containing the dip angle. ,---,Structural / Field,,
,Azimuth / Strike,The bearing of a plane measure clockwise from north when dip is to the right.,---,Structural / Field,,
,Beta (B),The angle between strike and the apparent dip direction.,---,Structural / Field,,
,Dip,"The inclination of the line of greatest slope of an inclined plane, measured perpendicular to strike.",---,Structural / Field,,
,Dip-Slip Fault,"A fault in which the movement is parallel to the dip of the fault plane, such as a normal, reverse, or listric fault.",---,Structural / Field,,
,Fenster / Window,"A ""window"" into rocks underlying a thrust fault.",---,Structural / Field,Geomorphology,
,Footwall Block,The block that underlies a non-vertical fault. ,---,Structural / Field,,
,Growth Fault,A fault that forms contemporaneously with deposition in sedimentary rock. The throw increases with depth and the sedimentary units on the downthrown side are thicker than the corresponding units on the upthrown side.,A fault that forms as the same time as sedimentary deposition. ,Structural / Field,,
,Hanging-Wall Block,The block that overlies a non-vertical fault.,---,Structural / Field,,
,Heave / Offset,The amount of horizontal displacement on a fault.,---,Structural / Field,,
,Hinge Line,The axis along which curvature of a fold is greatest,---,Structural / Field,,
,Inclination,"A general term for the vertical angle between the horizontal and a plane or line, measured downward.",---,Structural / Field,,
,Klippe,An outlier of a thrust sheet completely surrounded by the footwall.,"Surviving portion of the overlying hanging wall, eroded all the way around, exposing the footwall. Generally hill shaped.",Structural / Field,Geomorphology,
,Listric Fault,"A fault with a curved fault plane. Near the surface the fault plane is steeply dipping, but it becomes progressively flatter with depth. Listric faults may be normal or reverse.","A curved fault plane, with decreasing steepness with depth.",Structural / Field,,
,Nappe,A sheetlike rock unit that has moved over other rocks (allochthonous) on a predominantly horizontal surface.,---,Structural / Field,,
,Net Slip,"The distance between two formerly adjacent points on either side of the fault, measured on the fault surface.",How much displacement. ,Structural / Field,,
,Normal Fault,A dip-slip fault in which the hanging wall has moved down relative to the footwall. The dip of the fault is between 45 and 90 degrees.,---,Structural / Field,,
,Oblique-Slip Fault,A fault in which movement is not parallel to the strike or dip of the fault plane.,Diagonal faulting.,Structural / Field,,
,Pole,"A line perpendicular to a plane, and represented as a point on a stereographic projection. ",---,Structural / Field,,
,Plunge,The vertical angle between a line and horizontal.,---,Structural / Field,,
,Rake (Pitch),"The angle measured in a specified plane, between a line and the horizontal.",---,Structural / Field,,
,Reverse Fault,A dip-slip fault in which the hanging wall has moved up relative to the footwall. The dip of the fault is between 45 to 90 degrees.,---,Structural / Field,,
,Riedel Shear,Subsidiary faults inclined between 10 to 20 degrees from the trace of the dominant strike slip fault.,---,Structural / Field,,
,Strike,The bearing of a horizontal line in an inclined plane.,---,Structural / Field,,
,Strike-Slip Fault,A fault in which movement is parallel to the strike of the fault plane. ,---,Structural / Field,,
,Throw,"The amount of vertical displacement on a fault, also, the vertical component of net slip.",---,Structural / Field,,
,Thrust Fault,A reverse fault in which the fault plane dips less than 45 degrees.,---,Structural / Field,,
,Trend,The bearing of the horizontal plane containing a line.,Horizontal orientation of a linear feature.,Structural / Field,,
,"""How do you solve a three point problem?""",[STEP 1] Measure distance from low point to high point. [STEP 2] Apply the equation... (mid elevation - low elevation)/(high elevation - low elevation = (X/distance from low point to high point) ... and solve for X. [ STEP 3] Measure the X distance away from the low elevation point along the low-high point line. [STEP 4] Draw in a line connecting this new point to the mid elevation point. This is your strike. [STEP 5] Add 90 to obtain the dip direction (groundwater flow direction).,---,Structural / Field,,
,"""What is the mathematical expression used to find dip (or apparent dip) from two known elevations?""",tan(dip) = rise / run,dip = arctan(rise / run),Structural / Field,,
,"""What is the generalized expression for finding a unit thickness, given width and dip?""",thickness = width x (sin(dip)),---,Structural / Field,,
,Angular Unconformity,An unconformity between two groups of rocks that are dipping at different angles. The older rocks below are often dipping more steeply than the rocks above.,---,Structural / Field,,
,Disconformity,A type of paraconformity in which the rocks above and below are essentially parallel but the unconformity surface is not parallel to the bedding.,Essentially flat beds where the unconforming surface is at an angle. Think normal layers with just an irregular erosional surface. Way to remember it -> think damaged bed????,Structural / Field,,
,Eon,"Four subdivisions of time on Earth. From oldest to youngest: Hadean, Archean, Proterozoic, and Phanerozoic",---,Structural / Field,,
,Epoch,Subdivisions of the Tertiary and Quaternary periods.,---,Structural / Field,,
,Era,"Subdicisions of the Phanerozoic: Paleozoic, Mesozoic, and Cenozoic ",---,Structural / Field,,
,Ga,Giga-annnum. One billion yeaers.,---,Structural / Field,,
,Ka,Kilo-annum. One thousand years.,---,Structural / Field,,
,Key Beds,"A well defined, easily identified strata that is distinctive enough to be useful in correlation in mapping.",---,Structural / Field,,
,Ma,Mega-annum. One million years.,---,Structural / Field,,
,Magnetic Declination,The angle between true North and magnetic North.,---,Structural / Field,,
,Nonconformity,"An unconformity formed by older igneous rocks in contact with younger sediments, indicating a missing time after the igneous intrusion. ",Way to remember?... Noncomformity -> N -> New layers deposited... (horizontally due to original horizontality),Structural / Field,,
,Parconformity,An unconformity in which the beds are parallel above and below the break.,Para -> Parallel (above and below),Structural / Field,,
,Period,Subdivisions of the three eras.,---,Structural / Field,,
,"""What three orogenies affected the Appalachian Mountains in theeastern US from the ordovician to the Permian, what were they?""","Taconian, Acadian, Alleghanian orogenies",---,Structural / Field,,
,"""The ancestral Rocky Mountains were formed in the ___ time period by uplift, where the mountains were later eroded down.""",Pennsylvanian,---,Structural / Field,,
,Rule of V's,The outcrop pattern of a formation or fault as it crosses a valley forms a V shape (as viewed on a map). The V points in the direction that the formation underlies the valley.,---,Structural / Field,,
,State Plane Coordinate System,A two dimensional coordinate system developed by the National Geodetic Survey for use in states and counties.,---,Structural / Field,,
,Township and Range,A surveyed unit of the Public Land Survey System that forms a 6 mile by 6 mile square and is divided into 36 sections. Townships are measured in rows north and south of a baseline and ranges are measured in columns east and west of a Principal Meridian.,"6 x 6 mile mapping grid. Townships = vertical lines that divide L/R , Ranges = horizontal lines that divide up / down.",Structural / Field,,
,Unconformity,A gap in the geologic record; an interruption in the depositional sequence that implies uplift and erosion have removed part of the geologic record or non-deposition has occurred. ,"Types of unconformities: disconformity, angular unconformity, paraconformity, and nonconformity. ",Structural / Field,,
,"""What are the seven geologic principles used for relative dating of units?""",1) Law of initial horizontality 2) law of superposition 3) cross-cutting relationships 4) lateral continuity 5) faunal and floral succession 6) law of inclusions 7) metamorphic relationships,---,Structural / Field,,
,Law of Original Horizontality,Assumption that layers were depositied horizontally or nearly so.,---,Structural / Field,,
,Law of Superposition,"Assumption that the oldest layer is on the bottom, and the youngest layers are on top.",---,Structural / Field,,
,Cross-Cutting Relationships,States a feature cutting through a rock layer is younger than it.,---,Structural / Field,,
,Lateral Continuity,Assumption that sedimentary layers were deposited covering a large area extending laterally in all directions.,---,Structural / Field,,
,Faunal and Floral Successions,States that known ages of specific fossils allows for relative dating.,---,Structural / Field,,
,Law of Inclusions,States that inclusions in a rock are older than the rocks in which they are within.,---,Structural / Field,,
,"""What mountain range was formed in the Jurassic by subduction in the Wester US?""",Sierra Nevada Mountains,---,Structural / Field,,
,"""What mountain range was formed by the most recent orogeny in the western US called the Laramide orogeny which started in the late Creaceous?""",Rocky Mountains,---,Structural / Field,,
,"""Give an example of an arthropod fossil.""",Trilobite,---,Structural / Field,,
,"""Give an example of a mollusk fossil.""","Gastropods, cephalopods, bivalves",---,Structural / Field,,
,"""Give an example of a cnidaria fossil.""",Coral,---,Structural / Field,,
,"""Give an example of an echinoderm fossil.""",Crinoid,---,Structural / Field,,
,"""What are S-waves, and can they move through liquids?""","S-waves are secondary waves, and they CANNOT move through liquids. ",---,Structural / Field,Geophysics,
,"""What are P-waves, and can they move through liquids?""","P-waves are primary waves, and they CAN move through liquids. ",---,Structural / Field,Geophysics,
,"""What mechanisms propagate P-wave travel?""","Compressions and dilations, considering the rigid behavior of rock particles. ",---,Structural / Field,Geophysics,
,"""What wave type shears rocks at right angles to the direction of travel?""",S-waves.,---,Structural / Field,Geophysics,
,"""What are the two types of surface waves?""",Rayleigh and Love waves.,---,Structural / Field,Geophysics,
,Angular Unconformity,An unconformity between two groups of rocks that are dipping at different angles. The older rocks below are often dipping more steeply than the rocks above.,---,Structural / Field,,
,Disconformity,A type of paraconformity in which the rocks above and below are essentially parallel but the unconformity surface is not parallel to the bedding.,Essentially flat beds where the unconforming surface is at an angle. Think normal layers with just an irregular erosional surface.,Structural / Field,,
,Eon,"Four subdivisions of time on Earth. From oldest to youngest: Hadean, Archean, Proterozoic, and Phanerozoic",---,Structural / Field,,
,Epoch,Subdivisions of the Tertiary and Quaternary periods.,---,Structural / Field,,
,Era,"Subdicisions of the Phanerozoic: Paleozoic, Mesozoic, and Cenozoic ",---,Structural / Field,,
,Ga,Giga-annnum. One billion yeaers.,---,Structural / Field,,
,Ka,Kilo-annum. One thousand years.,---,Structural / Field,,
,Key Beds,"A well defined, easily identified strata that is distinctive enough to be useful in correlation in mapping.",---,Structural / Field,,
,Ma,Mega-annum. One million years.,---,Structural / Field,,
,Magnetic Declination,The angle between true North and magnetic North.,---,Structural / Field,,
,Nonconformity,"An unconformity formed by older igneous rocks in contact with younger sediments, indicating a missing time after the igneous intrusion. ",---,Structural / Field,,
,Parconformity,An unconformity in which the beds are parallel above and below the break.,---,Structural / Field,,
,Period,Subdivisions of the three eras.,---,Structural / Field,,
,Rule of V's,The outcrop pattern of a formation or fault as it crosses a valley forms a V shape (as viewed on a map). The V points in the direction that the formation underlies the valley.,---,Structural / Field,,
,State Plane Coordinate System,A two dimensional coordinate system developed by the National Geodetic Survey for use in states and counties.,---,Structural / Field,,
,Township and Range,A surveyed unit of the Public Land Survey System that forms a 6 mile by 6 mile square and is divided into 36 sections. Townships are measured in rows north and south of a baseline and ranges are measured in columns east and west of a Principal Meridian.,---,Structural / Field,,
,Unconformity,A gap in the geologic record; an interruption in the depositional sequence that implies uplift and erosion have removed part of the geologic record or non-deposition has occurred. ,"Types of unconformities: disconformity, angular unconformity, paraconformity, and nonconformity. ",Structural / Field,,
,"""What are the seven geologic principles used for relative dating of units?""",1) Law of initial horizontality 2) law of superposition 3) cross-cutting relationships 4) lateral continuity 5) faunal and floral succession 6) law of inclusions 7) metamorphic relationships,---,Structural / Field,,
,Law of Original Horizontality,Assumption that layers were depositied horizontally or nearly so.,---,Structural / Field,,
,Law of Superposition,"Assumption that the oldest layer is on the bottom, and the youngest layers are on top.",---,Structural / Field,,
,Cross-Cutting Relationships,States a feature cutting through a rock layer is younger than it.,---,Structural / Field,,
,Lateral Continuity,Assumption that sedimentary layers were deposited covering a large area extending laterally in all directions.,---,Structural / Field,,
,Faunal and Floral Successions,States that known ages of specific fossils allows for relative dating.,---,Structural / Field,,
,Law of Inclusions,States that inclusions in a rock are older than the rocks in which they are within.,---,Structural / Field,,
,Metamorphosed Relationships ,Metamorphosed beds are younger than the rock as it existed before metamorphism.,---,Structural / Field,,
,"""In graded bedding, are the coarser grains at the bottom or the top?""",At the bottom.,---,Structural / Field,,
,"""In graded bedding, are the finer grains at the top or bottom?""",At the top.,---,Structural / Field,,
,"""With ripple marks, are the concave portions faced up or down?""",The ripples are concave up. ,---,Structural / Field,,
,"""Are rip up clasts found on the upper or lower portions of a basal surface?""",Lower.,---,Structural / Field,,
,"""Which direction does the V portion of a mud crack point?""",The V points downwards towards older layers. ,---,Structural / Field,,
,"""Does freshwater have high or low resistivity?""",High,---,Structural / Field,Geophysics,
,"""Does water with a high TDS value have high or low resistivity?""",Low,---,Structural / Field,Geophysics,
,"""What is the geologic map symbol for a horizontal bed?""",A circle with a plus.,---,Structural / Field,,
,"""What tectonic environment are carbonatites often associated with?""",Rift Zones,---,Structural / Field,,
,"""What are tectonically thrust pieces of oceanic crust onto ",Ophiolites,---,Structural / Field,,
,"""What is the geologic map symbol for a plunging anticline?""","A line with an arrow, with two arrows pointing perpendicularly away.",---,Structural / Field,,
,"""What is the geologic map symbol for a plunging syncline?""","A line with an arrow, with two arrows pointing pependicularly inwards.",---,Structural / Field,,
,"""What is the geologic map symbol for a fault with dip?""",A line with a small perpendicular arrow with the degree of dip.,---,Structural / Field,,
,"""Are the hatch markings of a fault on a geologic map on the footwall or hanging wall?""",On the hanging wall.,---,Structural / Field,,
,"""What is the geologic map symbol of a dipping joint?""",A line with a rectangular block and degree of dip.,---,Structural / Field,,
,"""Graptolites are used as index fossils for what time periods?""",Ordivician to Devonian,---,Structural / Field,,
,"""Fusilinids are used as index fossils for what time periods?""",Pennsylvanian to Permian,---,Structural / Field,,
,"""How many major tectonic plates are there?""",Seven.,---,Structural / Field,,
,"""What period did the first land plants emerge?""",Silurian Period,---,Structural / Field,,
,"""What are the three periods in the Mesozoic Era?""","Triassic, Jurassic, Cretaceous",---,Structural / Field,,
,"""What extinction was likely caused by an asteroid impact and flood basalts, and likely killed the dinosaurs?""",K-T Mass Extinction,---,Structural / Field,,
,"""What was the extinction that was likely caused by lava erupton of the Siberian traps, and killed 95% of all species?""",Permian-Triassic Extinction,---,Structural / Field,,
,"""What was the extinction likely caused by glaciation in the Paleozoic, killing 60% of marine animals.""",Ordovian-Silurian ,---,Structural / Field,,
,"""What three orogenies affected the Appalachian Mountains in theeastern US from the ordovician to the Permian, what were they?""","Taconian, Acadian, Alleghanian orogenies",---,Structural / Field,,
,"""The ancestral Rocky Mountains were formed in the ___ time period by uplift, where the mountains were later eroded down.""",Pennsylvanian,---,Structural / Field,,
,Metamorphosed Relationships ,Metamorphosed beds are younger than the rock as it existed before metamorphism.,---,Structural / Field,,
,"""In graded bedding, are the coarser grains at the bottom or the top?""",At the bottom.,---,Structural / Field,,
,"""In graded bedding, are the finer grains at the top or bottom?""",At the top.,---,Structural / Field,,
,"""With ripple marks, are the concave portions faced up or down?""",The ripples are concave up. ,---,Structural / Field,,
,"""Are rip up clasts found on the upper or lower portions of a basal surface?""",Lower.,---,Structural / Field,,
,"""Which direction does the V portion of a mud crack point?""",The V points downwards towards older layers. ,---,Structural / Field,,
,"""When did almost all anorthosite samples form?""",During the Pre-Cambrian (Proterozoic and Archean).,---,Structural / Field,Mineralogy / Petrology,
,"""What is the geologic map symbol for a horizontal bed?""",A circle with a plus.,---,Structural / Field,,
,"""What is the geologic map symbol for a plunging anticline?""","A line with an arrow, with two arrows pointing perpendicularly away.",---,Structural / Field,,
,"""What is the geologic map symbol for a plunging syncline?""","A line with an arrow, with two arrows pointing pependicularly inwards.",---,Structural / Field,,
,"""What is the geologic map symbol for a fault with dip?""",A line with a small perpendicular arrow with the degree of dip.,---,Structural / Field,,
,"""Are the hatch markings of a fault on a geologic map on the footwall or hanging wall?""",On the hanging wall.,---,Structural / Field,,
,"""What is the geologic map symbol of a dipping joint?""",A line with a rectangular block and degree of dip.,---,Structural / Field,,
,"""What is the generalized expression for finding depth at a given transverse distance?""",depth = transverse distance ,"Transverse distance is the distance from a known strike, to wherever you'd like to calculate for depth.",Structural / Field,,
,Aphanitic,"An igneous rock texture that refers to the grains not visible to the naked eye, and therefore indicative of fast cooling. ",---,Mineralogy / Petrology,,
,Aureole,The zone of metamorphosed rock surrounding an igneous intrusion and show the effects of contact metmorphism.,---,Mineralogy / Petrology,,
,Bar,A unit of pressure equivalent to approximately 1 atmosphere.,---,Mineralogy / Petrology,,
,Bowen's Reaction Series,"The sequence of minerals that form in the process of fractional crystallization of a magma, and the inverse stability to weathering.",---,Mineralogy / Petrology,,
,Burial Metamorphism,A type of low-grade regional metamorphism affecting sediments and interlayered volcanic rocks that has lower temperatures (200 to 450 C) without any influence of orogenesis or magmatic intrusion.,"Low grade metamorphism due to pressure, and not as much to temperature.",Mineralogy / Petrology,,
,Chron,An interval of geologic time during which the Earth's polarity is predominantly the same. ,---,Mineralogy / Petrology,,
,Color Index,A number that represents the percent by weight or volume of dark-colored minerals in a rock. ,Usually used to estimate mafic / felsic content quickly. ,Mineralogy / Petrology,,
,Contact Metamorphism,"Metamorphism associated with the intrusion of an igneous mass. Metamorphic changes are caused principally by heat, but also by magma composition and deformation related to the intrusion. Pressures are relatively low (<3000 bars) while temperatures range from 200 to 1000 C.",Metamorphism of a host rock due to direct contact with an igneous mass.,Mineralogy / Petrology,,
,Diagenesis ,The physical and chemical changes undergone by sediments at low temperatures and pressures. ,"Compaction, cementation, leaching, authigenesis, hydration, replacement, reworking",Mineralogy / Petrology,Sedimentology,
,Dolostone,A rock made up of more than 50% dolomite.,---,Mineralogy / Petrology,,
,Dynamic Metamorphism,"The process of creating new rocks from old, involving crushing, shearing, and recrystallization. ",---,Mineralogy / Petrology,,
,Extrusive Rocks,Igneous rocks that have been erupted on the surface of the Earth. ,---,Mineralogy / Petrology,,
,Facies,"A mappable, areally restricted part of a rock body that has different fossils or lithology from other contiguous beds deposited at the same time. ",Rock units with unique qualities that were depositied around the same time. ,Mineralogy / Petrology,,
,Feldspars,"The most widespread mineral group in the Earth's crust.  (Literally nothing else you need to know about feldspars, haha!)",---,Mineralogy / Petrology,,
,Felsic ,A descriptive term for a rock that has abundant light colored minerals.,---,Mineralogy / Petrology,,
,Fossil Assemblages,A group of fossils that occur at the same stratigraphic level. ,---,Mineralogy / Petrology,,
,Index Fossil,A fossil that identifies and dates the strata in which it is found. It combines a wide geographic range with a narrow stratigraphic occurence.,---,Mineralogy / Petrology,,
,Intrusive Rocks,Igneous rocks that have been formed within the Earth by emplacement of magma into pre-existing rock. ,---,Mineralogy / Petrology,,
,Key Beds,"A well-defined, easily identified strata that is distinctive enough to be useful in correlation in mapping",---,Mineralogy / Petrology,,
,Mafic,A descriptive term for a rock that has abundant dark colored minerals.,---,Mineralogy / Petrology,,
